group	condition	tokens	grammaticality
0	s_ab	It is these pizzas that Susan lifted carefully	True
0	s_xx	It is obvious that Susan lifted your jacket carefully	True
1	s_ab	It is these pizzas that Susan lifted without falling	True
1	s_xx	It is obvious that Susan lifted your jacket without falling	True
2	s_ab	It is these pizzas that Susan lifted quickly	True
2	s_xx	It is obvious that Susan lifted your jacket quickly	True
3	s_ab	It is these pizzas that Susan lifted carefully	True
3	s_xx	It is obvious that Susan lifted a phone carefully	True
4	s_ab	It is these pizzas that Susan lifted without falling	True
4	s_xx	It is obvious that Susan lifted a phone without falling	True
5	s_ab	It is these pizzas that Susan lifted quickly	True
5	s_xx	It is obvious that Susan lifted a phone quickly	True
6	s_ab	It is these pizzas that Susan lifted carefully	True
6	s_xx	It is obvious that Susan lifted the paperwork carefully	True
7	s_ab	It is these pizzas that Susan lifted without falling	True
7	s_xx	It is obvious that Susan lifted the paperwork without falling	True
8	s_ab	It is these pizzas that Susan lifted quickly	True
8	s_xx	It is obvious that Susan lifted the paperwork quickly	True
9	s_ab	It is these pizzas that Susan stole carefully	True
9	s_xx	It is obvious that Susan stole your jacket carefully	True
10	s_ab	It is these pizzas that Susan stole without falling	True
10	s_xx	It is obvious that Susan stole your jacket without falling	True
11	s_ab	It is these pizzas that Susan stole quickly	True
11	s_xx	It is obvious that Susan stole your jacket quickly	True
12	s_ab	It is these pizzas that Susan stole carefully	True
12	s_xx	It is obvious that Susan stole a phone carefully	True
13	s_ab	It is these pizzas that Susan stole without falling	True
13	s_xx	It is obvious that Susan stole a phone without falling	True
14	s_ab	It is these pizzas that Susan stole quickly	True
14	s_xx	It is obvious that Susan stole a phone quickly	True
15	s_ab	It is these pizzas that Susan stole carefully	True
15	s_xx	It is obvious that Susan stole the paperwork carefully	True
16	s_ab	It is these pizzas that Susan stole without falling	True
16	s_xx	It is obvious that Susan stole the paperwork without falling	True
17	s_ab	It is these pizzas that Susan stole quickly	True
17	s_xx	It is obvious that Susan stole the paperwork quickly	True
18	s_ab	It is these pizzas that Susan threw carefully	True
18	s_xx	It is obvious that Susan threw your jacket carefully	True
19	s_ab	It is these pizzas that Susan threw without falling	True
19	s_xx	It is obvious that Susan threw your jacket without falling	True
20	s_ab	It is these pizzas that Susan threw quickly	True
20	s_xx	It is obvious that Susan threw your jacket quickly	True
21	s_ab	It is these pizzas that Susan threw carefully	True
21	s_xx	It is obvious that Susan threw a phone carefully	True
22	s_ab	It is these pizzas that Susan threw without falling	True
22	s_xx	It is obvious that Susan threw a phone without falling	True
23	s_ab	It is these pizzas that Susan threw quickly	True
23	s_xx	It is obvious that Susan threw a phone quickly	True
24	s_ab	It is these pizzas that Susan threw carefully	True
24	s_xx	It is obvious that Susan threw the paperwork carefully	True
25	s_ab	It is these pizzas that Susan threw without falling	True
25	s_xx	It is obvious that Susan threw the paperwork without falling	True
26	s_ab	It is these pizzas that Susan threw quickly	True
26	s_xx	It is obvious that Susan threw the paperwork quickly	True
27	s_ab	It is these pizzas that Michelle lifted carefully	True
27	s_xx	It is obvious that Michelle lifted your jacket carefully	True
28	s_ab	It is these pizzas that Michelle lifted without falling	True
28	s_xx	It is obvious that Michelle lifted your jacket without falling	True
29	s_ab	It is these pizzas that Michelle lifted quickly	True
29	s_xx	It is obvious that Michelle lifted your jacket quickly	True
30	s_ab	It is these pizzas that Michelle lifted carefully	True
30	s_xx	It is obvious that Michelle lifted a phone carefully	True
31	s_ab	It is these pizzas that Michelle lifted without falling	True
31	s_xx	It is obvious that Michelle lifted a phone without falling	True
32	s_ab	It is these pizzas that Michelle lifted quickly	True
32	s_xx	It is obvious that Michelle lifted a phone quickly	True
33	s_ab	It is these pizzas that Michelle lifted carefully	True
33	s_xx	It is obvious that Michelle lifted the paperwork carefully	True
34	s_ab	It is these pizzas that Michelle lifted without falling	True
34	s_xx	It is obvious that Michelle lifted the paperwork without falling	True
35	s_ab	It is these pizzas that Michelle lifted quickly	True
35	s_xx	It is obvious that Michelle lifted the paperwork quickly	True
36	s_ab	It is these pizzas that Michelle stole carefully	True
36	s_xx	It is obvious that Michelle stole your jacket carefully	True
37	s_ab	It is these pizzas that Michelle stole without falling	True
37	s_xx	It is obvious that Michelle stole your jacket without falling	True
38	s_ab	It is these pizzas that Michelle stole quickly	True
38	s_xx	It is obvious that Michelle stole your jacket quickly	True
39	s_ab	It is these pizzas that Michelle stole carefully	True
39	s_xx	It is obvious that Michelle stole a phone carefully	True
40	s_ab	It is these pizzas that Michelle stole without falling	True
40	s_xx	It is obvious that Michelle stole a phone without falling	True
41	s_ab	It is these pizzas that Michelle stole quickly	True
41	s_xx	It is obvious that Michelle stole a phone quickly	True
42	s_ab	It is these pizzas that Michelle stole carefully	True
42	s_xx	It is obvious that Michelle stole the paperwork carefully	True
43	s_ab	It is these pizzas that Michelle stole without falling	True
43	s_xx	It is obvious that Michelle stole the paperwork without falling	True
44	s_ab	It is these pizzas that Michelle stole quickly	True
44	s_xx	It is obvious that Michelle stole the paperwork quickly	True
45	s_ab	It is these pizzas that Michelle threw carefully	True
45	s_xx	It is obvious that Michelle threw your jacket carefully	True
46	s_ab	It is these pizzas that Michelle threw without falling	True
46	s_xx	It is obvious that Michelle threw your jacket without falling	True
47	s_ab	It is these pizzas that Michelle threw quickly	True
47	s_xx	It is obvious that Michelle threw your jacket quickly	True
48	s_ab	It is these pizzas that Michelle threw carefully	True
48	s_xx	It is obvious that Michelle threw a phone carefully	True
49	s_ab	It is these pizzas that Michelle threw without falling	True
49	s_xx	It is obvious that Michelle threw a phone without falling	True
50	s_ab	It is these pizzas that Michelle threw quickly	True
50	s_xx	It is obvious that Michelle threw a phone quickly	True
51	s_ab	It is these pizzas that Michelle threw carefully	True
51	s_xx	It is obvious that Michelle threw the paperwork carefully	True
52	s_ab	It is these pizzas that Michelle threw without falling	True
52	s_xx	It is obvious that Michelle threw the paperwork without falling	True
53	s_ab	It is these pizzas that Michelle threw quickly	True
53	s_xx	It is obvious that Michelle threw the paperwork quickly	True
54	s_ab	It is these pizzas that Susan lifted carefully	True
54	s_xx	It is surprising that Susan lifted your jacket carefully	True
55	s_ab	It is these pizzas that Susan lifted without falling	True
55	s_xx	It is surprising that Susan lifted your jacket without falling	True
56	s_ab	It is these pizzas that Susan lifted quickly	True
56	s_xx	It is surprising that Susan lifted your jacket quickly	True
57	s_ab	It is these pizzas that Susan lifted carefully	True
57	s_xx	It is surprising that Susan lifted a phone carefully	True
58	s_ab	It is these pizzas that Susan lifted without falling	True
58	s_xx	It is surprising that Susan lifted a phone without falling	True
59	s_ab	It is these pizzas that Susan lifted quickly	True
59	s_xx	It is surprising that Susan lifted a phone quickly	True
60	s_ab	It is these pizzas that Susan lifted carefully	True
60	s_xx	It is surprising that Susan lifted the paperwork carefully	True
61	s_ab	It is these pizzas that Susan lifted without falling	True
61	s_xx	It is surprising that Susan lifted the paperwork without falling	True
62	s_ab	It is these pizzas that Susan lifted quickly	True
62	s_xx	It is surprising that Susan lifted the paperwork quickly	True
63	s_ab	It is these pizzas that Susan stole carefully	True
63	s_xx	It is surprising that Susan stole your jacket carefully	True
64	s_ab	It is these pizzas that Susan stole without falling	True
64	s_xx	It is surprising that Susan stole your jacket without falling	True
65	s_ab	It is these pizzas that Susan stole quickly	True
65	s_xx	It is surprising that Susan stole your jacket quickly	True
66	s_ab	It is these pizzas that Susan stole carefully	True
66	s_xx	It is surprising that Susan stole a phone carefully	True
67	s_ab	It is these pizzas that Susan stole without falling	True
67	s_xx	It is surprising that Susan stole a phone without falling	True
68	s_ab	It is these pizzas that Susan stole quickly	True
68	s_xx	It is surprising that Susan stole a phone quickly	True
69	s_ab	It is these pizzas that Susan stole carefully	True
69	s_xx	It is surprising that Susan stole the paperwork carefully	True
70	s_ab	It is these pizzas that Susan stole without falling	True
70	s_xx	It is surprising that Susan stole the paperwork without falling	True
71	s_ab	It is these pizzas that Susan stole quickly	True
71	s_xx	It is surprising that Susan stole the paperwork quickly	True
72	s_ab	It is these pizzas that Susan threw carefully	True
72	s_xx	It is surprising that Susan threw your jacket carefully	True
73	s_ab	It is these pizzas that Susan threw without falling	True
73	s_xx	It is surprising that Susan threw your jacket without falling	True
74	s_ab	It is these pizzas that Susan threw quickly	True
74	s_xx	It is surprising that Susan threw your jacket quickly	True
75	s_ab	It is these pizzas that Susan threw carefully	True
75	s_xx	It is surprising that Susan threw a phone carefully	True
76	s_ab	It is these pizzas that Susan threw without falling	True
76	s_xx	It is surprising that Susan threw a phone without falling	True
77	s_ab	It is these pizzas that Susan threw quickly	True
77	s_xx	It is surprising that Susan threw a phone quickly	True
78	s_ab	It is these pizzas that Susan threw carefully	True
78	s_xx	It is surprising that Susan threw the paperwork carefully	True
79	s_ab	It is these pizzas that Susan threw without falling	True
79	s_xx	It is surprising that Susan threw the paperwork without falling	True
80	s_ab	It is these pizzas that Susan threw quickly	True
80	s_xx	It is surprising that Susan threw the paperwork quickly	True
81	s_ab	It is these pizzas that Michelle lifted carefully	True
81	s_xx	It is surprising that Michelle lifted your jacket carefully	True
82	s_ab	It is these pizzas that Michelle lifted without falling	True
82	s_xx	It is surprising that Michelle lifted your jacket without falling	True
83	s_ab	It is these pizzas that Michelle lifted quickly	True
83	s_xx	It is surprising that Michelle lifted your jacket quickly	True
84	s_ab	It is these pizzas that Michelle lifted carefully	True
84	s_xx	It is surprising that Michelle lifted a phone carefully	True
85	s_ab	It is these pizzas that Michelle lifted without falling	True
85	s_xx	It is surprising that Michelle lifted a phone without falling	True
86	s_ab	It is these pizzas that Michelle lifted quickly	True
86	s_xx	It is surprising that Michelle lifted a phone quickly	True
87	s_ab	It is these pizzas that Michelle lifted carefully	True
87	s_xx	It is surprising that Michelle lifted the paperwork carefully	True
88	s_ab	It is these pizzas that Michelle lifted without falling	True
88	s_xx	It is surprising that Michelle lifted the paperwork without falling	True
89	s_ab	It is these pizzas that Michelle lifted quickly	True
89	s_xx	It is surprising that Michelle lifted the paperwork quickly	True
90	s_ab	It is these pizzas that Michelle stole carefully	True
90	s_xx	It is surprising that Michelle stole your jacket carefully	True
91	s_ab	It is these pizzas that Michelle stole without falling	True
91	s_xx	It is surprising that Michelle stole your jacket without falling	True
92	s_ab	It is these pizzas that Michelle stole quickly	True
92	s_xx	It is surprising that Michelle stole your jacket quickly	True
93	s_ab	It is these pizzas that Michelle stole carefully	True
93	s_xx	It is surprising that Michelle stole a phone carefully	True
94	s_ab	It is these pizzas that Michelle stole without falling	True
94	s_xx	It is surprising that Michelle stole a phone without falling	True
95	s_ab	It is these pizzas that Michelle stole quickly	True
95	s_xx	It is surprising that Michelle stole a phone quickly	True
96	s_ab	It is these pizzas that Michelle stole carefully	True
96	s_xx	It is surprising that Michelle stole the paperwork carefully	True
97	s_ab	It is these pizzas that Michelle stole without falling	True
97	s_xx	It is surprising that Michelle stole the paperwork without falling	True
98	s_ab	It is these pizzas that Michelle stole quickly	True
98	s_xx	It is surprising that Michelle stole the paperwork quickly	True
99	s_ab	It is these pizzas that Michelle threw carefully	True
99	s_xx	It is surprising that Michelle threw your jacket carefully	True
100	s_ab	It is these pizzas that Michelle threw without falling	True
100	s_xx	It is surprising that Michelle threw your jacket without falling	True
101	s_ab	It is these pizzas that Michelle threw quickly	True
101	s_xx	It is surprising that Michelle threw your jacket quickly	True
102	s_ab	It is these pizzas that Michelle threw carefully	True
102	s_xx	It is surprising that Michelle threw a phone carefully	True
103	s_ab	It is these pizzas that Michelle threw without falling	True
103	s_xx	It is surprising that Michelle threw a phone without falling	True
104	s_ab	It is these pizzas that Michelle threw quickly	True
104	s_xx	It is surprising that Michelle threw a phone quickly	True
105	s_ab	It is these pizzas that Michelle threw carefully	True
105	s_xx	It is surprising that Michelle threw the paperwork carefully	True
106	s_ab	It is these pizzas that Michelle threw without falling	True
106	s_xx	It is surprising that Michelle threw the paperwork without falling	True
107	s_ab	It is these pizzas that Michelle threw quickly	True
107	s_xx	It is surprising that Michelle threw the paperwork quickly	True
108	s_ab	It is these pizzas that Susan lifted carefully	True
108	s_xx	It is annoying that Susan lifted your jacket carefully	True
109	s_ab	It is these pizzas that Susan lifted without falling	True
109	s_xx	It is annoying that Susan lifted your jacket without falling	True
110	s_ab	It is these pizzas that Susan lifted quickly	True
110	s_xx	It is annoying that Susan lifted your jacket quickly	True
111	s_ab	It is these pizzas that Susan lifted carefully	True
111	s_xx	It is annoying that Susan lifted a phone carefully	True
112	s_ab	It is these pizzas that Susan lifted without falling	True
112	s_xx	It is annoying that Susan lifted a phone without falling	True
113	s_ab	It is these pizzas that Susan lifted quickly	True
113	s_xx	It is annoying that Susan lifted a phone quickly	True
114	s_ab	It is these pizzas that Susan lifted carefully	True
114	s_xx	It is annoying that Susan lifted the paperwork carefully	True
115	s_ab	It is these pizzas that Susan lifted without falling	True
115	s_xx	It is annoying that Susan lifted the paperwork without falling	True
116	s_ab	It is these pizzas that Susan lifted quickly	True
116	s_xx	It is annoying that Susan lifted the paperwork quickly	True
117	s_ab	It is these pizzas that Susan stole carefully	True
117	s_xx	It is annoying that Susan stole your jacket carefully	True
118	s_ab	It is these pizzas that Susan stole without falling	True
118	s_xx	It is annoying that Susan stole your jacket without falling	True
119	s_ab	It is these pizzas that Susan stole quickly	True
119	s_xx	It is annoying that Susan stole your jacket quickly	True
120	s_ab	It is these pizzas that Susan stole carefully	True
120	s_xx	It is annoying that Susan stole a phone carefully	True
121	s_ab	It is these pizzas that Susan stole without falling	True
121	s_xx	It is annoying that Susan stole a phone without falling	True
122	s_ab	It is these pizzas that Susan stole quickly	True
122	s_xx	It is annoying that Susan stole a phone quickly	True
123	s_ab	It is these pizzas that Susan stole carefully	True
123	s_xx	It is annoying that Susan stole the paperwork carefully	True
124	s_ab	It is these pizzas that Susan stole without falling	True
124	s_xx	It is annoying that Susan stole the paperwork without falling	True
125	s_ab	It is these pizzas that Susan stole quickly	True
125	s_xx	It is annoying that Susan stole the paperwork quickly	True
126	s_ab	It is these pizzas that Susan threw carefully	True
126	s_xx	It is annoying that Susan threw your jacket carefully	True
127	s_ab	It is these pizzas that Susan threw without falling	True
127	s_xx	It is annoying that Susan threw your jacket without falling	True
128	s_ab	It is these pizzas that Susan threw quickly	True
128	s_xx	It is annoying that Susan threw your jacket quickly	True
129	s_ab	It is these pizzas that Susan threw carefully	True
129	s_xx	It is annoying that Susan threw a phone carefully	True
130	s_ab	It is these pizzas that Susan threw without falling	True
130	s_xx	It is annoying that Susan threw a phone without falling	True
131	s_ab	It is these pizzas that Susan threw quickly	True
131	s_xx	It is annoying that Susan threw a phone quickly	True
132	s_ab	It is these pizzas that Susan threw carefully	True
132	s_xx	It is annoying that Susan threw the paperwork carefully	True
133	s_ab	It is these pizzas that Susan threw without falling	True
133	s_xx	It is annoying that Susan threw the paperwork without falling	True
134	s_ab	It is these pizzas that Susan threw quickly	True
134	s_xx	It is annoying that Susan threw the paperwork quickly	True
135	s_ab	It is these pizzas that Michelle lifted carefully	True
135	s_xx	It is annoying that Michelle lifted your jacket carefully	True
136	s_ab	It is these pizzas that Michelle lifted without falling	True
136	s_xx	It is annoying that Michelle lifted your jacket without falling	True
137	s_ab	It is these pizzas that Michelle lifted quickly	True
137	s_xx	It is annoying that Michelle lifted your jacket quickly	True
138	s_ab	It is these pizzas that Michelle lifted carefully	True
138	s_xx	It is annoying that Michelle lifted a phone carefully	True
139	s_ab	It is these pizzas that Michelle lifted without falling	True
139	s_xx	It is annoying that Michelle lifted a phone without falling	True
140	s_ab	It is these pizzas that Michelle lifted quickly	True
140	s_xx	It is annoying that Michelle lifted a phone quickly	True
141	s_ab	It is these pizzas that Michelle lifted carefully	True
141	s_xx	It is annoying that Michelle lifted the paperwork carefully	True
142	s_ab	It is these pizzas that Michelle lifted without falling	True
142	s_xx	It is annoying that Michelle lifted the paperwork without falling	True
143	s_ab	It is these pizzas that Michelle lifted quickly	True
143	s_xx	It is annoying that Michelle lifted the paperwork quickly	True
144	s_ab	It is these pizzas that Michelle stole carefully	True
144	s_xx	It is annoying that Michelle stole your jacket carefully	True
145	s_ab	It is these pizzas that Michelle stole without falling	True
145	s_xx	It is annoying that Michelle stole your jacket without falling	True
146	s_ab	It is these pizzas that Michelle stole quickly	True
146	s_xx	It is annoying that Michelle stole your jacket quickly	True
147	s_ab	It is these pizzas that Michelle stole carefully	True
147	s_xx	It is annoying that Michelle stole a phone carefully	True
148	s_ab	It is these pizzas that Michelle stole without falling	True
148	s_xx	It is annoying that Michelle stole a phone without falling	True
149	s_ab	It is these pizzas that Michelle stole quickly	True
149	s_xx	It is annoying that Michelle stole a phone quickly	True
150	s_ab	It is these pizzas that Michelle stole carefully	True
150	s_xx	It is annoying that Michelle stole the paperwork carefully	True
151	s_ab	It is these pizzas that Michelle stole without falling	True
151	s_xx	It is annoying that Michelle stole the paperwork without falling	True
152	s_ab	It is these pizzas that Michelle stole quickly	True
152	s_xx	It is annoying that Michelle stole the paperwork quickly	True
153	s_ab	It is these pizzas that Michelle threw carefully	True
153	s_xx	It is annoying that Michelle threw your jacket carefully	True
154	s_ab	It is these pizzas that Michelle threw without falling	True
154	s_xx	It is annoying that Michelle threw your jacket without falling	True
155	s_ab	It is these pizzas that Michelle threw quickly	True
155	s_xx	It is annoying that Michelle threw your jacket quickly	True
156	s_ab	It is these pizzas that Michelle threw carefully	True
156	s_xx	It is annoying that Michelle threw a phone carefully	True
157	s_ab	It is these pizzas that Michelle threw without falling	True
157	s_xx	It is annoying that Michelle threw a phone without falling	True
158	s_ab	It is these pizzas that Michelle threw quickly	True
158	s_xx	It is annoying that Michelle threw a phone quickly	True
159	s_ab	It is these pizzas that Michelle threw carefully	True
159	s_xx	It is annoying that Michelle threw the paperwork carefully	True
160	s_ab	It is these pizzas that Michelle threw without falling	True
160	s_xx	It is annoying that Michelle threw the paperwork without falling	True
161	s_ab	It is these pizzas that Michelle threw quickly	True
161	s_xx	It is annoying that Michelle threw the paperwork quickly	True
162	s_ab	It is those balls that Susan lifted carefully	True
162	s_xx	It is obvious that Susan lifted your jacket carefully	True
163	s_ab	It is those balls that Susan lifted without falling	True
163	s_xx	It is obvious that Susan lifted your jacket without falling	True
164	s_ab	It is those balls that Susan lifted quickly	True
164	s_xx	It is obvious that Susan lifted your jacket quickly	True
165	s_ab	It is those balls that Susan lifted carefully	True
165	s_xx	It is obvious that Susan lifted a phone carefully	True
166	s_ab	It is those balls that Susan lifted without falling	True
166	s_xx	It is obvious that Susan lifted a phone without falling	True
167	s_ab	It is those balls that Susan lifted quickly	True
167	s_xx	It is obvious that Susan lifted a phone quickly	True
168	s_ab	It is those balls that Susan lifted carefully	True
168	s_xx	It is obvious that Susan lifted the paperwork carefully	True
169	s_ab	It is those balls that Susan lifted without falling	True
169	s_xx	It is obvious that Susan lifted the paperwork without falling	True
170	s_ab	It is those balls that Susan lifted quickly	True
170	s_xx	It is obvious that Susan lifted the paperwork quickly	True
171	s_ab	It is those balls that Susan stole carefully	True
171	s_xx	It is obvious that Susan stole your jacket carefully	True
172	s_ab	It is those balls that Susan stole without falling	True
172	s_xx	It is obvious that Susan stole your jacket without falling	True
173	s_ab	It is those balls that Susan stole quickly	True
173	s_xx	It is obvious that Susan stole your jacket quickly	True
174	s_ab	It is those balls that Susan stole carefully	True
174	s_xx	It is obvious that Susan stole a phone carefully	True
175	s_ab	It is those balls that Susan stole without falling	True
175	s_xx	It is obvious that Susan stole a phone without falling	True
176	s_ab	It is those balls that Susan stole quickly	True
176	s_xx	It is obvious that Susan stole a phone quickly	True
177	s_ab	It is those balls that Susan stole carefully	True
177	s_xx	It is obvious that Susan stole the paperwork carefully	True
178	s_ab	It is those balls that Susan stole without falling	True
178	s_xx	It is obvious that Susan stole the paperwork without falling	True
179	s_ab	It is those balls that Susan stole quickly	True
179	s_xx	It is obvious that Susan stole the paperwork quickly	True
180	s_ab	It is those balls that Susan threw carefully	True
180	s_xx	It is obvious that Susan threw your jacket carefully	True
181	s_ab	It is those balls that Susan threw without falling	True
181	s_xx	It is obvious that Susan threw your jacket without falling	True
182	s_ab	It is those balls that Susan threw quickly	True
182	s_xx	It is obvious that Susan threw your jacket quickly	True
183	s_ab	It is those balls that Susan threw carefully	True
183	s_xx	It is obvious that Susan threw a phone carefully	True
184	s_ab	It is those balls that Susan threw without falling	True
184	s_xx	It is obvious that Susan threw a phone without falling	True
185	s_ab	It is those balls that Susan threw quickly	True
185	s_xx	It is obvious that Susan threw a phone quickly	True
186	s_ab	It is those balls that Susan threw carefully	True
186	s_xx	It is obvious that Susan threw the paperwork carefully	True
187	s_ab	It is those balls that Susan threw without falling	True
187	s_xx	It is obvious that Susan threw the paperwork without falling	True
188	s_ab	It is those balls that Susan threw quickly	True
188	s_xx	It is obvious that Susan threw the paperwork quickly	True
189	s_ab	It is those balls that Michelle lifted carefully	True
189	s_xx	It is obvious that Michelle lifted your jacket carefully	True
190	s_ab	It is those balls that Michelle lifted without falling	True
190	s_xx	It is obvious that Michelle lifted your jacket without falling	True
191	s_ab	It is those balls that Michelle lifted quickly	True
191	s_xx	It is obvious that Michelle lifted your jacket quickly	True
192	s_ab	It is those balls that Michelle lifted carefully	True
192	s_xx	It is obvious that Michelle lifted a phone carefully	True
193	s_ab	It is those balls that Michelle lifted without falling	True
193	s_xx	It is obvious that Michelle lifted a phone without falling	True
194	s_ab	It is those balls that Michelle lifted quickly	True
194	s_xx	It is obvious that Michelle lifted a phone quickly	True
195	s_ab	It is those balls that Michelle lifted carefully	True
195	s_xx	It is obvious that Michelle lifted the paperwork carefully	True
196	s_ab	It is those balls that Michelle lifted without falling	True
196	s_xx	It is obvious that Michelle lifted the paperwork without falling	True
197	s_ab	It is those balls that Michelle lifted quickly	True
197	s_xx	It is obvious that Michelle lifted the paperwork quickly	True
198	s_ab	It is those balls that Michelle stole carefully	True
198	s_xx	It is obvious that Michelle stole your jacket carefully	True
199	s_ab	It is those balls that Michelle stole without falling	True
199	s_xx	It is obvious that Michelle stole your jacket without falling	True
200	s_ab	It is those balls that Michelle stole quickly	True
200	s_xx	It is obvious that Michelle stole your jacket quickly	True
201	s_ab	It is those balls that Michelle stole carefully	True
201	s_xx	It is obvious that Michelle stole a phone carefully	True
202	s_ab	It is those balls that Michelle stole without falling	True
202	s_xx	It is obvious that Michelle stole a phone without falling	True
203	s_ab	It is those balls that Michelle stole quickly	True
203	s_xx	It is obvious that Michelle stole a phone quickly	True
204	s_ab	It is those balls that Michelle stole carefully	True
204	s_xx	It is obvious that Michelle stole the paperwork carefully	True
205	s_ab	It is those balls that Michelle stole without falling	True
205	s_xx	It is obvious that Michelle stole the paperwork without falling	True
206	s_ab	It is those balls that Michelle stole quickly	True
206	s_xx	It is obvious that Michelle stole the paperwork quickly	True
207	s_ab	It is those balls that Michelle threw carefully	True
207	s_xx	It is obvious that Michelle threw your jacket carefully	True
208	s_ab	It is those balls that Michelle threw without falling	True
208	s_xx	It is obvious that Michelle threw your jacket without falling	True
209	s_ab	It is those balls that Michelle threw quickly	True
209	s_xx	It is obvious that Michelle threw your jacket quickly	True
210	s_ab	It is those balls that Michelle threw carefully	True
210	s_xx	It is obvious that Michelle threw a phone carefully	True
211	s_ab	It is those balls that Michelle threw without falling	True
211	s_xx	It is obvious that Michelle threw a phone without falling	True
212	s_ab	It is those balls that Michelle threw quickly	True
212	s_xx	It is obvious that Michelle threw a phone quickly	True
213	s_ab	It is those balls that Michelle threw carefully	True
213	s_xx	It is obvious that Michelle threw the paperwork carefully	True
214	s_ab	It is those balls that Michelle threw without falling	True
214	s_xx	It is obvious that Michelle threw the paperwork without falling	True
215	s_ab	It is those balls that Michelle threw quickly	True
215	s_xx	It is obvious that Michelle threw the paperwork quickly	True
216	s_ab	It is those balls that Susan lifted carefully	True
216	s_xx	It is surprising that Susan lifted your jacket carefully	True
217	s_ab	It is those balls that Susan lifted without falling	True
217	s_xx	It is surprising that Susan lifted your jacket without falling	True
218	s_ab	It is those balls that Susan lifted quickly	True
218	s_xx	It is surprising that Susan lifted your jacket quickly	True
219	s_ab	It is those balls that Susan lifted carefully	True
219	s_xx	It is surprising that Susan lifted a phone carefully	True
220	s_ab	It is those balls that Susan lifted without falling	True
220	s_xx	It is surprising that Susan lifted a phone without falling	True
221	s_ab	It is those balls that Susan lifted quickly	True
221	s_xx	It is surprising that Susan lifted a phone quickly	True
222	s_ab	It is those balls that Susan lifted carefully	True
222	s_xx	It is surprising that Susan lifted the paperwork carefully	True
223	s_ab	It is those balls that Susan lifted without falling	True
223	s_xx	It is surprising that Susan lifted the paperwork without falling	True
224	s_ab	It is those balls that Susan lifted quickly	True
224	s_xx	It is surprising that Susan lifted the paperwork quickly	True
225	s_ab	It is those balls that Susan stole carefully	True
225	s_xx	It is surprising that Susan stole your jacket carefully	True
226	s_ab	It is those balls that Susan stole without falling	True
226	s_xx	It is surprising that Susan stole your jacket without falling	True
227	s_ab	It is those balls that Susan stole quickly	True
227	s_xx	It is surprising that Susan stole your jacket quickly	True
228	s_ab	It is those balls that Susan stole carefully	True
228	s_xx	It is surprising that Susan stole a phone carefully	True
229	s_ab	It is those balls that Susan stole without falling	True
229	s_xx	It is surprising that Susan stole a phone without falling	True
230	s_ab	It is those balls that Susan stole quickly	True
230	s_xx	It is surprising that Susan stole a phone quickly	True
231	s_ab	It is those balls that Susan stole carefully	True
231	s_xx	It is surprising that Susan stole the paperwork carefully	True
232	s_ab	It is those balls that Susan stole without falling	True
232	s_xx	It is surprising that Susan stole the paperwork without falling	True
233	s_ab	It is those balls that Susan stole quickly	True
233	s_xx	It is surprising that Susan stole the paperwork quickly	True
234	s_ab	It is those balls that Susan threw carefully	True
234	s_xx	It is surprising that Susan threw your jacket carefully	True
235	s_ab	It is those balls that Susan threw without falling	True
235	s_xx	It is surprising that Susan threw your jacket without falling	True
236	s_ab	It is those balls that Susan threw quickly	True
236	s_xx	It is surprising that Susan threw your jacket quickly	True
237	s_ab	It is those balls that Susan threw carefully	True
237	s_xx	It is surprising that Susan threw a phone carefully	True
238	s_ab	It is those balls that Susan threw without falling	True
238	s_xx	It is surprising that Susan threw a phone without falling	True
239	s_ab	It is those balls that Susan threw quickly	True
239	s_xx	It is surprising that Susan threw a phone quickly	True
240	s_ab	It is those balls that Susan threw carefully	True
240	s_xx	It is surprising that Susan threw the paperwork carefully	True
241	s_ab	It is those balls that Susan threw without falling	True
241	s_xx	It is surprising that Susan threw the paperwork without falling	True
242	s_ab	It is those balls that Susan threw quickly	True
242	s_xx	It is surprising that Susan threw the paperwork quickly	True
